,temperatures,max_production_per_alpha,max_production_per_alpha_std,average_production_per_alpha,average_production_per_alpha_std,ngenes_per_alpha,ngenes_per_alpha_std,var_per_alpha,var_per_alpha_std,entropy_per_alpha,entropy_per_alpha_std
69,11.0,2.0392082,0.046361852,1.7235005,0.03836488,18.375,0.7445636305917714,0.03367661,0.0,2.471716185599651,0.0
70,13.0,2.0651913,0.0428048,1.8002732,0.034185898,17.935,0.9114685951803275,0.03524164,0.0,2.4193450496372146,0.0
71,15.0,2.0839612,0.039711874,1.8538468,0.02648827,17.505,1.0197916453864486,0.013151621,0.0,2.2166912790903575,0.0
72,17.0,2.096858,0.035797246,1.8927084,0.02314382,17.08,1.1373653766490344,0.01940475,0.0,2.3248756287221526,0.0
73,19.0,2.1165466,0.026209282,1.9214947,0.02069362,16.63,1.2054459755625717,0.014439222,0.0,2.1699605120852343,0.0
74,21.0,2.1225412,0.020606194,1.9419838,0.017908625,16.22,1.2294714311442947,0.007595272,0.0,1.9993570768104096,0.0
75,23.0,2.1271958,0.017571142,1.959839,0.016041862,15.61,1.3848826665100549,0.00857008,0.0,2.082228219812618,0.0
76,25.0,2.1318586,0.010717244,1.9742732,0.0145736355,15.095,1.430375824739778,0.007983649,0.0,2.0677198898569724,0.0
77,27.0,2.133145,0.008053088,1.9849985,0.0107282745,14.81,1.2703936397825675,0.008914399,0.0,2.0058557272029494,0.0
78,29.0,2.134699,0.0027400036,1.9942505,0.009958654,14.395,1.4244209349767365,0.004634728,0.0,2.0371377042845644,0.0
79,31.0,2.1348932,0.0,1.9998246,0.010206389,14.215,1.4726761354758215,0.0046553565,0.0,1.9370490955325792,0.0
80,33.0,2.1348932,0.0,2.0063944,0.008853111,13.74,1.5074481748969017,0.0032739765,0.0,1.956823432752262,0.0
81,35.0,2.1348932,0.0,2.0104892,0.008689914,13.575,1.5081031131855671,0.0025127493,0.0,1.9619397162387207,0.0
82,37.0,2.1348932,0.0,2.016155,0.0070964936,13.26,1.5041276541570532,0.0033125025,0.0,1.9121490528496514,0.0
83,39.0,2.1348932,0.0,2.018491,0.007250964,13.045,1.4673019457494083,0.0029628365,0.0,1.8904328567378907,0.0
84,41.0,2.1348932,0.0,2.0219133,0.0060552307,12.7,1.3711309200802089,0.0014593818,0.0,1.8685681871546296,0.0
85,43.0,2.1348932,0.0,2.024306,0.005887861,12.455,1.3921117052880492,0.0028833454,0.0,1.9288052260025346,0.0
86,45.0,2.1348932,0.0,2.026777,0.0053873854,12.285,1.3355803981790089,0.0017953459,0.0,1.9024696638942062,0.0
87,47.0,2.1348932,0.0,2.0277374,0.00537277,12.1,1.407124727947029,0.002508839,0.0,1.797858077641793,0.0
88,49.0,2.1348932,0.0,2.0305681,0.0043582963,11.875,1.4728798321655436,0.0015982136,0.0,1.784005142009422,0.0
89,51.0,2.1348932,0.0,2.0308459,0.0043604835,11.795,1.3974888192754886,0.001795877,0.0,1.8871306053014894,0.0
90,53.0,2.1348932,0.0,2.0318496,0.004159393,11.695,1.225550896535921,0.0016678906,0.0,1.8953661580634507,0.0
91,55.0,2.1348932,0.0,2.0338137,0.0035664777,11.44,1.3215142829345434,0.0020266343,0.0,1.8875326607385923,0.0
92,57.0,2.1348932,0.0,2.0342782,0.004091116,11.27,1.409645345468143,0.001544874,0.0,1.84555764422871,0.0
93,59.0,2.1348932,0.0,2.0357184,0.00337207,11.105,1.3468388916273542,0.0025985779,0.0,1.9282870759298796,0.0
94,61.0,2.1348932,0.0,2.036648,0.0030668564,11.15,1.2278029157808676,0.0018081475,0.0,1.8614387989364067,0.0
95,63.0,2.1348932,0.0,2.0376315,0.0030313977,10.9,1.3266499161421599,0.0013897332,0.0,1.7978363460989866,0.0
96,65.0,2.1348932,0.0,2.0383244,0.0033402527,10.62,1.107068200247844,0.0015457274,0.0,1.8805153990655445,0.0
97,67.0,2.1348932,0.0,2.039063,0.0030746826,10.56,1.0707007051459339,0.0014423025,0.0,1.8315408465828544,0.0
98,69.0,2.1348932,0.0,2.039309,0.0027630522,10.735,1.2348178003252142,0.0015003185,0.0,1.7978124000566615,0.0
99,71.0,2.1348932,0.0,2.039701,0.0028504473,10.485,1.2327915476673257,0.0015994996,0.0,1.8318520458097365,0.0
100,73.0,2.1348932,0.0,2.0403526,0.0028570078,10.43,1.2104131526053405,0.0016269892,0.0,1.8739001928295997,0.0
101,75.0,2.1348932,0.0,2.0412722,0.0026528568,10.115,1.1583501197824428,0.001092328,0.0,1.7988793277942343,0.0
102,77.0,2.1348932,0.0,2.0416634,0.0025486262,10.07,1.0559829544078823,0.0013228882,0.0,1.8242283892104914,0.0
103,79.0,2.1348932,0.0,2.0416436,0.0026562212,10.21,1.0751278993682565,0.0014284304,0.0,1.812444885535331,0.0
104,81.0,2.1348932,0.0,2.0423002,0.0022828854,10.01,1.0908253755757609,0.0013809319,0.0,1.8586071483231503,0.0
105,83.0,2.1348932,0.0,2.0424092,0.002405229,9.85,1.0380269746013349,0.0011471447,0.0,1.8045319793804326,0.0
106,85.0,2.1348932,0.0,2.0428095,0.0021009361,9.725,0.9946733132038881,0.0010087114,0.0,1.8221334426906752,0.0
107,87.0,2.1348932,0.0,2.0433652,0.0019490748,9.61,0.9369631796394137,0.0011394854,0.0,1.8152765361485876,0.0
108,89.0,2.1348932,0.0,2.0433981,0.0018260314,9.685,0.8750857100878748,0.0010494922,0.0,1.827070689464063,0.0
109,91.0,2.1348932,0.0,2.0437822,0.0018962667,9.51,0.9746281342132496,0.0013010784,0.0,1.8061571894839579,0.0
110,93.0,2.1348932,0.0,2.0438747,0.0020060032,9.68,0.9314504817756014,0.0013768745,0.0,1.7921716301299229,0.0
111,95.0,2.1348932,0.0,2.044321,0.0017674768,9.49,0.8659676668328904,0.0011116291,0.0,1.7734791392620526,0.0
112,97.0,2.1348932,0.0,2.0445597,0.0016965902,9.42,0.8268010643437755,0.0012870237,0.0,1.8198786376527682,0.0
113,99.0,2.1348932,0.0,2.0446687,0.0015231125,9.46,0.8416650165000324,0.0009677318,0.0,1.7927326259554357,0.0
114,101.0,2.1348932,0.0,2.0450747,0.0016988171,9.3,0.7937253933193772,0.0009423567,0.0,1.789910143542078,0.0
115,103.0,2.1348932,0.0,2.044948,0.0017591622,9.32,0.7533923280734945,0.00086710096,0.0,1.808084484337293,0.0
116,105.0,2.1348932,0.0,2.045211,0.0014310832,9.235,0.7069476642581118,0.0010461737,0.0,1.7762587759225525,0.0
117,107.0,2.1348932,0.0,2.0455132,0.0013770105,9.25,0.7729812416870153,0.0012128422,0.0,1.8379491019730263,0.0
118,109.0,2.1348932,0.0,2.0454834,0.0014936596,9.27,0.6140846847137615,0.0009738754,0.0,1.756781535098862,0.0
119,111.0,2.1348932,0.0,2.0455348,0.0013922657,9.15,0.7533259586659681,0.0009795204,0.0,1.8179522963341304,0.0
120,113.0,2.1348932,0.0,2.0457609,0.0014691439,9.14,0.7812809993849844,0.00089531695,0.0,1.8193349063196427,0.0
121,115.0,2.1348932,0.0,2.0460377,0.0012453842,9.065,0.6861304540683207,0.0009900129,0.0,1.820455483228118,0.0
122,117.0,2.1348932,0.0,2.045796,0.0012432601,9.27,0.6979254974565695,0.00091682805,0.0,1.8005015233420798,0.0
123,119.0,2.1348932,0.0,2.046157,0.0012872018,9.015,0.6962578545337927,0.0012025099,0.0,1.79740259116221,0.0
124,121.0,2.1348932,0.0,2.0462847,0.0011557741,9.12,0.6289674077406555,0.00080770854,0.0,1.7874366307056555,0.0
125,123.0,2.1348932,0.0,2.0464258,0.00105115,9.01,0.6323764701504951,0.0008647487,0.0,1.7924133304360654,0.0
126,125.0,2.1348932,0.0,2.0464554,0.0011190682,8.985,0.6669145372534625,0.00088681094,0.0,1.7634192726345814,0.0
127,127.0,2.1348932,0.0,2.0466843,0.0010636573,8.945,0.584786285748905,0.00083322614,0.0,1.8010021884467524,0.0
