,temperatures,max_production_per_alpha,max_production_per_alpha_std,average_production_per_alpha,average_production_per_alpha_std,ngenes_per_alpha,ngenes_per_alpha_std,var_per_alpha,var_per_alpha_std
0,0.008,2.328533,0.037209645,2.1793075,0.01439304,18.98,0.13999999999999999,0.0065187174,0.0
1,0.008264462809917356,2.3229904,0.035942256,2.179265,0.013000814,19.0,0.0,0.005992698,0.0
2,0.008547008547008548,2.3276098,0.03879428,2.1797423,0.012419681,18.99,0.09949874371066199,0.007929093,0.0
3,0.008849557522123894,2.3235967,0.03405895,2.1801355,0.013990324,18.98,0.13999999999999999,0.0062684254,0.0
4,0.009174311926605505,2.3303409,0.038370285,2.1790538,0.013105198,18.96,0.19595917942265423,0.005283076,0.0
5,0.009523809523809525,2.3241584,0.033865537,2.1796339,0.014057149,18.99,0.09949874371066199,0.003989255,0.0
6,0.009900990099009901,2.327928,0.03512014,2.1825707,0.01218634,19.0,0.0,0.005772996,0.0
7,0.010309278350515464,2.3269377,0.034706425,2.1806223,0.014469882,19.0,0.0,0.006894081,0.0
8,0.010752688172043012,2.3270917,0.033538535,2.1789293,0.013200193,18.99,0.09949874371066199,0.006318326,0.0
9,0.011235955056179775,2.3290837,0.038826812,2.179358,0.014796287,19.0,0.0,0.0037666555,0.0
10,0.011764705882352941,2.3254745,0.038118117,2.1795962,0.013870095,18.99,0.09949874371066199,0.0053727594,0.0
11,0.012345679012345678,2.3227108,0.036104377,2.178784,0.011947057,18.99,0.09949874371066199,0.005914195,0.0
12,0.012987012987012988,2.323365,0.03598615,2.1784153,0.015068763,18.99,0.09949874371066199,0.005251464,0.0
13,0.0136986301369863,2.328875,0.03941896,2.1798527,0.013779402,19.0,0.0,0.0032282623,0.0
14,0.014492753623188406,2.3279386,0.040529277,2.1818137,0.0138659915,18.97,0.17058722109231983,0.0025593927,0.0
15,0.015384615384615385,2.3375258,0.033443306,2.1807003,0.013789303,18.94,0.2374868417407583,0.00573679,0.0
16,0.01639344262295082,2.3220906,0.038628716,2.177207,0.01336185,18.96,0.19595917942265423,0.0051720166,0.0
17,0.017543859649122806,2.3204901,0.03099243,2.177977,0.012510992,18.99,0.09949874371066199,0.0054686563,0.0
18,0.018867924528301886,2.3285847,0.038913846,2.1796484,0.013764815,18.99,0.09949874371066196,0.0055424157,0.0
19,0.02040816326530612,2.3255286,0.03336848,2.179054,0.011521052,19.0,0.0,0.00440408,0.0
20,0.022222222222222223,2.326123,0.036970653,2.1794758,0.013206465,18.97,0.17058722109231983,0.003931519,0.0
21,0.024390243902439025,2.3251934,0.03490703,2.1786158,0.0134213865,19.0,0.0,0.0088487035,0.0
22,0.02702702702702703,2.331968,0.03991316,2.1790888,0.013050352,18.98,0.13999999999999999,0.0038756197,0.0
23,0.030303030303030304,2.3324609,0.03177288,2.180281,0.0121899955,18.98,0.13999999999999999,0.0062409616,0.0
24,0.034482758620689655,2.3211634,0.032093313,2.1814673,0.013386902,18.97,0.17058722109231986,0.0074558435,0.0
25,0.04,2.3312552,0.037445225,2.1798782,0.013735073,18.97,0.17058722109231983,0.005355469,0.0
26,0.047619047619047616,2.3246994,0.037026793,2.180118,0.013931286,19.0,0.0,0.0052737347,0.0
27,0.058823529411764705,2.3248923,0.03618986,2.1802092,0.012419279,18.99,0.09949874371066199,0.009259218,0.0
28,0.07692307692307693,2.325388,0.03381343,2.1794894,0.0131700095,19.0,0.0,0.00197013,0.0
29,0.1111111111111111,2.3286736,0.038478013,2.1790278,0.012989962,19.0,0.0,0.0058508753,0.0
30,0.2,2.32623,0.035914954,2.1808817,0.012003852,19.0,0.0,0.006127469,0.0
31,1.0,2.33027,0.03523008,2.1838572,0.0128022935,19.0,0.0,0.0031914522,0.0
32,1.0,2.3354836,0.04145571,2.1848197,0.013193111,18.99,0.09949874371066199,0.005465016,0.0
33,5.0,2.3461435,0.03558743,2.2053792,0.011994042,18.98,0.13999999999999999,0.005256994,0.0
34,9.0,2.3704007,0.030345103,2.2243426,0.0130597595,18.96,0.19595917942265423,0.005876042,0.0
35,13.0,2.3916204,0.034163106,2.2467167,0.0129618,18.96,0.19595917942265423,0.0037168963,0.0
36,17.0,2.417546,0.033741713,2.2653487,0.0120533565,18.89,0.37134889255254283,0.0053925356,0.0
37,21.0,2.4299457,0.029360244,2.287929,0.012234253,18.83,0.375632799419859,0.005764061,0.0
38,25.0,2.44975,0.022968458,2.3098404,0.011377158,18.8,0.4242640687119285,0.0038849886,0.0
39,29.0,2.457882,0.020306887,2.3306599,0.0126268305,18.68,0.5268775948927796,0.0055412925,0.0
40,33.0,2.4669685,0.014102598,2.3478186,0.01224816,18.57,0.6364746656387825,0.0031042376,0.0
41,37.0,2.4727561,0.011237028,2.3654816,0.011973459,18.26,0.7565712127751093,0.002066282,0.0
42,41.0,2.4773207,0.010262113,2.379151,0.011600205,18.19,0.8682741502543998,0.0031498729,0.0
43,45.0,2.4805121,0.008180258,2.3927226,0.011860891,17.99,0.9433451118228153,0.0051938,0.0
44,49.0,2.482112,0.0077368757,2.4068635,0.010239023,17.53,1.043599540053559,0.003228898,0.0
45,53.0,2.4842775,0.003932741,2.4162645,0.007831728,17.32,1.1124747188138704,0.0035194282,0.0
46,57.0,2.4855251,0.0025670202,2.4255872,0.008674646,17.35,1.2278029157808674,0.0018812934,0.0
47,61.0,2.4855585,0.002092012,2.4329112,0.0071723824,16.82,1.1258774356030055,0.0019691628,0.0
48,65.0,2.4858663,0.0018386049,2.4381015,0.0066995057,16.51,1.284484332329515,0.0010906917,0.0
